[local] -3 -9 80.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 9 -9 70.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 3 -9 80.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 15 -9 70.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] -5 -9 80.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 7 -9 80.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 1 -7 80.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 1 -1 80.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 1 -13 80.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 1 1 80.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 1 -11 80.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 1 -5 80.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 1 -15 80.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 1 3 80.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 1 -9 80.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 5 -3 70.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] -1 -3 80.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 11 -3 70.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] -3 -3 80.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 9 -3 70.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 3 -3 70.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 15 -3 70.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] -5 -3 80.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 7 -3 70.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 1 -3 80.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 13 -7 70.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 13 -1 70.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 13 -13 70.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 13 1 80.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 13 -11 70.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 13 -5 70.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 13 -15 80.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 13 3 80.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 13 -9 70.0 (best c=0.03125, g=0.0078125, rate=80.0)
[local] 13 -3 70.0 (best c=0.03125, g=0.0078125, rate=80.0)
0.03125 0.0078125 80.0
*
optimization finished, #iter = 76
nu = 0.974359
obj = -4.747420, rho = 0.999836
nSV = 152, nBSV = 152
Total nSV = 152
Accuracy = 90.9091% (20/22) (classification)
