[local] 5 -7 30.0 (best c=32.0, g=0.0078125, rate=30.0)
[local] -1 -7 30.0 (best c=0.5, g=0.0078125, rate=30.0)
[local] 5 -1 50.0 (best c=32.0, g=0.5, rate=50.0)
[local] -1 -1 30.0 (best c=32.0, g=0.5, rate=50.0)
[local] 11 -7 50.0 (best c=32.0, g=0.5, rate=50.0)
[local] 11 -1 50.0 (best c=32.0, g=0.5, rate=50.0)
[local] 5 -13 30.0 (best c=32.0, g=0.5, rate=50.0)
[local] -1 -13 30.0 (best c=32.0, g=0.5, rate=50.0)
[local] 11 -13 30.0 (best c=32.0, g=0.5, rate=50.0)
[local] -3 -7 30.0 (best c=32.0, g=0.5, rate=50.0)
[local] -3 -1 30.0 (best c=32.0, g=0.5, rate=50.0)
[local] -3 -13 30.0 (best c=32.0, g=0.5, rate=50.0)
[local] 5 1 40.0 (best c=32.0, g=0.5, rate=50.0)
[local] -1 1 60.0 (best c=0.5, g=2.0, rate=60.0)
[local] 11 1 40.0 (best c=0.5, g=2.0, rate=60.0)
[local] -3 1 60.0 (best c=0.125, g=2.0, rate=60.0)
[local] 9 -7 50.0 (best c=0.125, g=2.0, rate=60.0)
[local] 9 -1 50.0 (best c=0.125, g=2.0, rate=60.0)
[local] 9 -13 30.0 (best c=0.125, g=2.0, rate=60.0)
[local] 9 1 40.0 (best c=0.125, g=2.0, rate=60.0)
[local] 5 -11 30.0 (best c=0.125, g=2.0, rate=60.0)
[local] -1 -11 30.0 (best c=0.125, g=2.0, rate=60.0)
[local] 11 -11 50.0 (best c=0.125, g=2.0, rate=60.0)
[local] -3 -11 30.0 (best c=0.125, g=2.0, rate=60.0)
[local] 9 -11 30.0 (best c=0.125, g=2.0, rate=60.0)
[local] 3 -7 30.0 (best c=0.125, g=2.0, rate=60.0)
[local] 3 -1 50.0 (best c=0.125, g=2.0, rate=60.0)
[local] 3 -13 30.0 (best c=0.125, g=2.0, rate=60.0)
[local] 3 1 40.0 (best c=0.125, g=2.0, rate=60.0)
[local] 3 -11 30.0 (best c=0.125, g=2.0, rate=60.0)
[local] 5 -5 50.0 (best c=0.125, g=2.0, rate=60.0)
[local] -1 -5 30.0 (best c=0.125, g=2.0, rate=60.0)
[local] 11 -5 50.0 (best c=0.125, g=2.0, rate=60.0)
[local] -3 -5 30.0 (best c=0.125, g=2.0, rate=60.0)
[local] 9 -5 50.0 (best c=0.125, g=2.0, rate=60.0)
[local] 3 -5 30.0 (best c=0.125, g=2.0, rate=60.0)
[local] 15 -7 50.0 (best c=0.125, g=2.0, rate=60.0)
[local] 15 -1 50.0 (best c=0.125, g=2.0, rate=60.0)
[local] 15 -13 50.0 (best c=0.125, g=2.0, rate=60.0)
[local] 15 1 40.0 (best c=0.125, g=2.0, rate=60.0)
[local] 15 -11 50.0 (best c=0.125, g=2.0, rate=60.0)
[local] 15 -5 50.0 (best c=0.125, g=2.0, rate=60.0)
[local] 5 -15 30.0 (best c=0.125, g=2.0, rate=60.0)
[local] -1 -15 30.0 (best c=0.125, g=2.0, rate=60.0)
[local] 11 -15 30.0 (best c=0.125, g=2.0, rate=60.0)
[local] -3 -15 30.0 (best c=0.125, g=2.0, rate=60.0)
[local] 9 -15 30.0 (best c=0.125, g=2.0, rate=60.0)
[local] 3 -15 30.0 (best c=0.125, g=2.0, rate=60.0)
[local] 15 -15 50.0 (best c=0.125, g=2.0, rate=60.0)
[local] -5 -7 30.0 (best c=0.125, g=2.0, rate=60.0)
[local] -5 -1 30.0 (best c=0.125, g=2.0, rate=60.0)
[local] -5 -13 30.0 (best c=0.125, g=2.0, rate=60.0)
[local] -5 1 60.0 (best c=0.03125, g=2.0, rate=60.0)
[local] -5 -11 30.0 (best c=0.03125, g=2.0, rate=60.0)
[local] -5 -5 30.0 (best c=0.03125, g=2.0, rate=60.0)
[local] -5 -15 30.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 5 3 60.0 (best c=0.03125, g=2.0, rate=60.0)
[local] -1 3 60.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 11 3 60.0 (best c=0.03125, g=2.0, rate=60.0)
[local] -3 3 60.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 9 3 60.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 3 3 60.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 15 3 60.0 (best c=0.03125, g=2.0, rate=60.0)
[local] -5 3 60.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 7 -7 50.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 7 -1 50.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 7 -13 30.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 7 1 40.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 7 -11 30.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 7 -5 50.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 7 -15 30.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 7 3 60.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 5 -9 30.0 (best c=0.03125, g=2.0, rate=60.0)
[local] -1 -9 30.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 11 -9 50.0 (best c=0.03125, g=2.0, rate=60.0)
[local] -3 -9 30.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 9 -9 50.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 3 -9 30.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 15 -9 50.0 (best c=0.03125, g=2.0, rate=60.0)
[local] -5 -9 30.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 7 -9 30.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 1 -7 30.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 1 -1 50.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 1 -13 30.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 1 1 40.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 1 -11 30.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 1 -5 30.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 1 -15 30.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 1 3 60.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 1 -9 30.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 5 -3 50.0 (best c=0.03125, g=2.0, rate=60.0)
[local] -1 -3 30.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 11 -3 50.0 (best c=0.03125, g=2.0, rate=60.0)
[local] -3 -3 30.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 9 -3 50.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 3 -3 50.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 15 -3 50.0 (best c=0.03125, g=2.0, rate=60.0)
[local] -5 -3 30.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 7 -3 50.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 1 -3 30.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 13 -7 50.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 13 -1 50.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 13 -13 50.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 13 1 40.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 13 -11 50.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 13 -5 50.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 13 -15 30.0 (best c=0.03125, g=2.0, rate=60.0)
[local] 13 3 60.0 (best c=0.03125, g=2.0, rate=60.0)
