[local] 5 -7 70.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] -5 -13 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] -5 1 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] -5 -11 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] -5 -5 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] -5 -15 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] 5 3 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] -1 3 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] 11 3 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] -3 3 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] 9 3 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] 3 3 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] 15 3 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] -5 3 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] 7 -7 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] 7 -1 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] 7 -13 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] 7 1 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] 7 -11 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] 7 -5 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] 7 -15 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] 7 3 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] 5 -9 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] -1 -9 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] 11 -9 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] -3 -9 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] 9 -9 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] 3 -9 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] 15 -9 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] -5 -9 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] 7 -9 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] 1 -7 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] 1 -1 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] 1 -13 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] 1 1 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] 1 -11 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] 1 -5 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] 1 -15 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] 1 3 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] 1 -9 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] 5 -3 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] -1 -3 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] 11 -3 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] -3 -3 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] 9 -3 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] 3 -3 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] 15 -3 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] -5 -3 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] 7 -3 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] 1 -3 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] 13 -7 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] 13 -1 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] 13 -13 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] 13 1 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] 13 -11 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] 13 -5 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] 13 -15 70.0 (best c=8.0, g=0.5, rate=90.0)
[local] 13 3 90.0 (best c=8.0, g=0.5, rate=90.0)
[local] 13 -9 80.0 (best c=8.0, g=0.5, rate=90.0)
[local] 13 -3 80.0 (best c=8.0, g=0.5, rate=90.0)
8.0 0.5 90.0
.*
optimization finished, #iter = 235
nu = 0.115087
obj = -61.689114, rho = 0.892774
nSV = 114, nBSV = 0
Total nSV = 114
Accuracy = 95.2381% (20/21) (classification)
