[local] 5 -7 60.0 (best c=32.0, g=0.0078125, rate=60.0)
[local] 15 -3 80.0 (best c=2.0, g=0.0078125, rate=80.0)
[local] -5 -3 70.0 (best c=2.0, g=0.0078125, rate=80.0)
[local] 7 -3 80.0 (best c=2.0, g=0.0078125, rate=80.0)
[local] 1 -3 80.0 (best c=2.0, g=0.0078125, rate=80.0)
[local] 13 -7 80.0 (best c=2.0, g=0.0078125, rate=80.0)
[local] 13 -1 80.0 (best c=2.0, g=0.0078125, rate=80.0)
[local] 13 -13 80.0 (best c=2.0, g=0.0078125, rate=80.0)
[local] 13 1 80.0 (best c=2.0, g=0.0078125, rate=80.0)
[local] 13 -11 80.0 (best c=2.0, g=0.0078125, rate=80.0)
[local] 13 -5 80.0 (best c=2.0, g=0.0078125, rate=80.0)
[local] 13 -15 80.0 (best c=2.0, g=0.0078125, rate=80.0)
[local] 13 3 80.0 (best c=2.0, g=0.0078125, rate=80.0)
[local] 13 -9 80.0 (best c=2.0, g=0.0078125, rate=80.0)
[local] 13 -3 80.0 (best c=2.0, g=0.0078125, rate=80.0)
2.0 0.0078125 80.0
iter  1 act 7.517e+01 pre 7.502e+01 delta 2.372e+00 f 2.680e+02 |g| 1.776e+02 CG   3
iter  2 act 1.983e+00 pre 1.955e+00 delta 2.372e+00 f 1.928e+02 |g| 8.352e+00 CG   4
iter  3 act 4.798e-03 pre 4.798e-03 delta 2.372e+00 f 1.908e+02 |g| 7.867e-01 CG   3
Accuracy = 76.1905% (16/21) (classification)
