[local] 1 -15 50.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 1 3 50.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 1 -9 50.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 5 -3 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] -1 -3 50.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 11 -3 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] -3 -3 60.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 9 -3 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 3 -3 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 15 -3 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] -5 -3 60.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 7 -3 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 1 -3 50.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 13 -7 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 13 -1 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 13 -13 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 13 1 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 13 -11 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 13 -5 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 13 -15 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 13 3 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 13 -9 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 13 -3 70.0 (best c=8.0, g=0.0078125, rate=70.0)
8.0 0.0078125 70.0
iter  1 act 2.317e+02 pre 2.315e+02 delta 2.235e+00 f 1.048e+03 |g| 6.350e+02 CG   3
iter  2 act 7.812e+00 pre 7.723e+00 delta 2.235e+00 f 8.163e+02 |g| 3.528e+01 CG   4
iter  3 act 4.531e-02 pre 4.531e-02 delta 2.235e+00 f 8.085e+02 |g| 4.165e+00 CG   3
Accuracy = 95.2381% (20/21) (classification)
