[local] 3 -5 90.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 15 -7 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 15 -1 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 15 -13 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 15 1 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 15 -11 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 15 -5 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 5 -15 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] -1 -15 70.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 11 -15 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] -3 -15 70.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 9 -15 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 3 -15 90.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 15 -15 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] -5 -7 70.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] -5 -1 70.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] -5 -13 70.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] -5 1 70.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] -5 -11 70.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] -5 -5 70.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] -5 -15 70.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 5 3 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] -1 3 70.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 11 3 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] -3 3 70.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 9 3 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 3 3 90.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 15 3 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] -5 3 70.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 7 -7 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 7 -1 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 7 -13 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 7 1 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 7 -11 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 7 -5 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 7 -15 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 7 3 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 5 -9 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] -1 -9 70.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 11 -9 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] -3 -9 70.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 9 -9 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 3 -9 90.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 15 -9 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] -5 -9 70.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 7 -9 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 1 -7 90.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 1 -1 90.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 1 -13 90.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 1 1 90.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 1 -11 90.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 1 -5 90.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 1 -15 90.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 1 3 90.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 1 -9 90.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 5 -3 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] -1 -3 70.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 11 -3 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] -3 -3 70.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 9 -3 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 3 -3 90.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 15 -3 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] -5 -3 70.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 7 -3 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 1 -3 90.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 13 -7 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 13 -1 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 13 -13 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 13 1 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 13 -11 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 13 -5 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 13 -15 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 13 3 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 13 -9 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] 13 -3 100.0 (best c=32.0, g=0.0078125, rate=100.0)
32.0 0.0078125 100.0
iter  1 act 1.692e+03 pre 1.548e+03 delta 3.056e+00 f 4.992e+03 |g| 1.189e+03 CG   3
iter  2 act 6.794e+01 pre 6.273e+01 delta 3.056e+00 f 3.300e+03 |g| 2.178e+02 CG   3
iter  3 act 2.760e+00 pre 2.679e+00 delta 3.056e+00 f 3.233e+03 |g| 5.704e+01 CG   3
Accuracy = 72.7273% (16/22) (classification)
