[local] 5 -7 100.0 (best c=32.0, g=0.0078125, rate=100.0)
[local] -1 -7 100.0 (best c=0.5, g=0.0078125, rate=100.0)
[local] 5 -1 90.0 (best c=0.5, g=0.0078125, rate=100.0)
[local] -1 -1 90.0 (best c=0.5, g=0.0078125, rate=100.0)
[local] 11 -7 100.0 (best c=0.5, g=0.0078125, rate=100.0)
[local] 11 -1 90.0 (best c=0.5, g=0.0078125, rate=100.0)
[local] 5 -13 100.0 (best c=0.5, g=0.0078125, rate=100.0)
[local] -1 -13 100.0 (best c=0.5, g=0.0078125, rate=100.0)
[local] 11 -13 100.0 (best c=0.5, g=0.0078125, rate=100.0)
[local] -3 -7 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] -3 -1 90.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] -3 -13 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 5 1 90.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] -1 1 90.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 11 1 90.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] -3 1 90.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 9 -7 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 9 -1 90.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 9 -13 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 9 1 90.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 5 -11 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] -1 -11 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 11 -11 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] -3 -11 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 9 -11 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 3 -7 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 3 -1 90.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 3 -13 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 3 1 90.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 3 -11 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 5 -5 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] -1 -5 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 11 -5 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] -3 -5 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 9 -5 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 3 -5 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 15 -7 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 15 -1 90.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 15 -13 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 15 1 90.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 15 -11 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 15 -5 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 5 -15 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] -1 -15 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 11 -15 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] -3 -15 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 9 -15 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 3 -15 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] 15 -15 100.0 (best c=0.125, g=0.0078125, rate=100.0)
[local] -5 -7 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] -5 -1 90.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] -5 -13 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] -5 1 90.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] -5 -11 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] -5 -5 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] -5 -15 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 5 3 90.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] -1 3 80.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 11 3 90.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] -3 3 80.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 9 3 90.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 3 3 90.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 15 3 90.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] -5 3 80.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 7 -7 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 7 -1 90.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 7 -13 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 7 1 90.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 7 -11 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 7 -5 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 7 -15 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 7 3 90.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 5 -9 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] -1 -9 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 11 -9 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] -3 -9 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 9 -9 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 3 -9 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 15 -9 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] -5 -9 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 7 -9 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 1 -7 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 1 -1 90.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 1 -13 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 1 1 90.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 1 -11 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 1 -5 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 1 -15 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 1 3 90.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 1 -9 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 5 -3 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] -1 -3 90.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 11 -3 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] -3 -3 90.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 9 -3 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 3 -3 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 15 -3 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] -5 -3 90.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 7 -3 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 1 -3 90.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 13 -7 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 13 -1 90.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 13 -13 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 13 1 90.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 13 -11 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 13 -5 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 13 -15 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 13 3 90.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 13 -9 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
[local] 13 -3 100.0 (best c=0.03125, g=0.0078125, rate=100.0)
0.03125 0.0078125 100.0
*
optimization finished, #iter = 70
nu = 0.881119
obj = -3.935349, rho = 0.999597
nSV = 126, nBSV = 126
Total nSV = 126
Accuracy = 90.9091% (20/22) (classification)
