[local] 5 -7 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -1 -7 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 5 -1 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -1 -1 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 11 -7 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 11 -1 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 5 -13 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -1 -13 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 11 -13 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -3 -7 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -3 -1 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -3 -13 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 5 1 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -1 1 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 11 1 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -3 1 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 9 -7 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 9 -1 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 9 -13 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 9 1 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 5 -11 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -1 -11 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 11 -11 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -3 -11 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 9 -11 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 3 -7 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 3 -1 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 3 -13 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 3 1 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 3 -11 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 5 -5 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -1 -5 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 11 -5 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -3 -5 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 9 -5 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 3 -5 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 15 -7 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 15 -1 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 15 -13 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 15 1 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 15 -11 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 15 -5 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 5 -15 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -1 -15 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 11 -15 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -3 -15 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 9 -15 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 3 -15 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 15 -15 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -5 -7 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -5 -1 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -5 -13 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -5 1 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -5 -11 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -5 -5 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -5 -15 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 5 3 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -1 3 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 11 3 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -3 3 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 9 3 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 3 3 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 15 3 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -5 3 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 7 -7 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 7 -1 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 7 -13 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 7 1 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 7 -11 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 7 -5 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 7 -15 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 7 3 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 5 -9 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -1 -9 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 11 -9 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -3 -9 50.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 9 -9 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] 3 -9 50.0 (best c=32.0, g=0.0078125, rate=80.0)
