[local] 5 -7 20.0 (best c=32.0, g=0.0078125, rate=20.0)
[local] -1 -7 20.0 (best c=0.5, g=0.0078125, rate=20.0)
[local] 5 -1 10.0 (best c=0.5, g=0.0078125, rate=20.0)
[local] -1 -1 20.0 (best c=0.5, g=0.0078125, rate=20.0)
[local] 11 -7 10.0 (best c=0.5, g=0.0078125, rate=20.0)
[local] 11 -1 10.0 (best c=0.5, g=0.0078125, rate=20.0)
[local] 5 -13 20.0 (best c=0.5, g=0.0078125, rate=20.0)
[local] -1 -13 20.0 (best c=0.5, g=0.0078125, rate=20.0)
[local] 11 -13 20.0 (best c=0.5, g=0.0078125, rate=20.0)
[local] -3 -7 20.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] -3 -1 20.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] -3 -13 20.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] 5 1 10.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] -1 1 20.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] 11 1 10.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] -3 1 20.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] 9 -7 10.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] 9 -1 10.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] 9 -13 20.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] 9 1 10.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] 5 -11 20.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] -1 -11 20.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] 11 -11 10.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] -3 -11 20.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] 9 -11 20.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] 3 -7 20.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] 3 -1 10.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] 3 -13 20.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] 3 1 10.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] 3 -11 20.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] 5 -5 10.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] -1 -5 20.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] 11 -5 10.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] -3 -5 20.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] 9 -5 10.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] 3 -5 20.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] 15 -7 10.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] 15 -1 10.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] 15 -13 10.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] 15 1 10.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] 15 -11 10.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] 15 -5 10.0 (best c=0.125, g=0.0078125, rate=20.0)
[local] 5 -15 20.0 (best c=0.125, g=0.0078125, rate=20.0)
