[local] 5 -7 10.0 (best c=32.0, g=0.0078125, rate=10.0)
[local] -1 -7 50.0 (best c=0.5, g=0.0078125, rate=50.0)
[local] 5 -1 10.0 (best c=0.5, g=0.0078125, rate=50.0)
[local] -1 -1 50.0 (best c=0.5, g=0.0078125, rate=50.0)
[local] 11 -7 30.0 (best c=0.5, g=0.0078125, rate=50.0)
[local] 11 -1 30.0 (best c=0.5, g=0.0078125, rate=50.0)
[local] 5 -13 10.0 (best c=0.5, g=0.0078125, rate=50.0)
[local] -1 -13 50.0 (best c=0.5, g=0.0078125, rate=50.0)
[local] 11 -13 30.0 (best c=0.5, g=0.0078125, rate=50.0)
[local] -3 -7 50.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] -3 -1 50.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] -3 -13 50.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 5 1 10.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] -1 1 50.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 11 1 30.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] -3 1 50.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 9 -7 30.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 9 -1 30.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 9 -13 30.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 9 1 30.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 5 -11 10.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] -1 -11 50.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 11 -11 30.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] -3 -11 50.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 9 -11 30.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 3 -7 40.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 3 -1 40.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 3 -13 40.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 3 1 40.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 3 -11 40.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 5 -5 10.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] -1 -5 50.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 11 -5 30.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] -3 -5 50.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 9 -5 30.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 3 -5 40.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 15 -7 30.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 15 -1 30.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 15 -13 30.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 15 1 30.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 15 -11 30.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 15 -5 30.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 5 -15 10.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] -1 -15 50.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 11 -15 30.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] -3 -15 50.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 9 -15 30.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 3 -15 40.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] 15 -15 30.0 (best c=0.125, g=0.0078125, rate=50.0)
[local] -5 -7 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] -5 -1 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] -5 -13 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] -5 1 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] -5 -11 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] -5 -5 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] -5 -15 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 5 3 10.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] -1 3 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 11 3 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] -3 3 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 9 3 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 3 3 40.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 15 3 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] -5 3 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 7 -7 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 7 -1 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 7 -13 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 7 1 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 7 -11 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 7 -5 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 7 -15 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 7 3 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 5 -9 10.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] -1 -9 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 11 -9 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] -3 -9 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 9 -9 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 3 -9 40.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 15 -9 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] -5 -9 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 7 -9 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 1 -7 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 1 -1 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 1 -13 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 1 1 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 1 -11 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 1 -5 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 1 -15 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 1 3 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 1 -9 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 5 -3 10.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] -1 -3 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 11 -3 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] -3 -3 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 9 -3 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 3 -3 40.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 15 -3 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] -5 -3 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 7 -3 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 1 -3 50.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 13 -7 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 13 -1 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 13 -13 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 13 1 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 13 -11 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 13 -5 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 13 -15 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 13 3 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 13 -9 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
[local] 13 -3 30.0 (best c=0.03125, g=0.0078125, rate=50.0)
0.03125 0.0078125 50.0
iter  1 act 1.037e-01 pre 1.037e-01 delta 3.832e-01 f 5.219e+00 |g| 7.561e-01 CG   3
