[local] 15 3 70.0 (best c=512.0, g=0.0078125, rate=90.0)
[local] -5 3 70.0 (best c=512.0, g=0.0078125, rate=90.0)
[local] 7 -7 90.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 7 -1 80.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 7 -13 70.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 7 1 80.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 7 -11 70.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 7 -5 90.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 7 -15 70.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 7 3 70.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 5 -9 70.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] -1 -9 70.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 11 -9 90.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] -3 -9 70.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 9 -9 90.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 3 -9 70.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 15 -9 90.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] -5 -9 70.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 7 -9 70.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 1 -7 70.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 1 -1 80.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 1 -13 70.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 1 1 80.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 1 -11 70.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 1 -5 70.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 1 -15 70.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 1 3 70.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 1 -9 70.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 5 -3 90.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] -1 -3 70.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 11 -3 90.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] -3 -3 70.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 9 -3 90.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 3 -3 90.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 15 -3 90.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] -5 -3 70.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 7 -3 90.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 1 -3 70.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 13 -7 90.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 13 -1 80.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 13 -13 90.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 13 1 80.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 13 -11 90.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 13 -5 90.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 13 -15 70.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 13 3 70.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 13 -9 90.0 (best c=128.0, g=0.0078125, rate=90.0)
[local] 13 -3 90.0 (best c=128.0, g=0.0078125, rate=90.0)
128.0 0.0078125 90.0
.*
optimization finished, #iter = 246
nu = 0.261235
obj = -2460.411224, rho = 0.666732
nSV = 112, nBSV = 3
Total nSV = 112
Accuracy = 95.4545% (21/22) (classification)
