[local] 5 -7 20.0 (best c=32.0, g=0.0078125, rate=20.0)
[local] -1 -7 70.0 (best c=0.5, g=0.0078125, rate=70.0)
[local] 5 -1 20.0 (best c=0.5, g=0.0078125, rate=70.0)
[local] -1 -1 70.0 (best c=0.5, g=0.0078125, rate=70.0)
[local] 11 -7 20.0 (best c=0.5, g=0.0078125, rate=70.0)
[local] 11 -1 20.0 (best c=0.5, g=0.0078125, rate=70.0)
[local] 5 -13 20.0 (best c=0.5, g=0.0078125, rate=70.0)
[local] -1 -13 70.0 (best c=0.5, g=0.0078125, rate=70.0)
[local] 11 -13 20.0 (best c=0.5, g=0.0078125, rate=70.0)
[local] -3 -7 70.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] -3 -1 70.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] -3 -13 70.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 5 1 20.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] -1 1 70.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 11 1 20.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] -3 1 70.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 9 -7 20.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 9 -1 20.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 9 -13 20.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 9 1 20.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 5 -11 20.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] -1 -11 70.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 11 -11 20.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] -3 -11 70.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 9 -11 20.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 3 -7 60.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 3 -1 60.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 3 -13 60.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 3 1 60.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 3 -11 60.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 5 -5 20.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] -1 -5 70.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 11 -5 20.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] -3 -5 70.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 9 -5 20.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 3 -5 60.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 15 -7 20.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 15 -1 20.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 15 -13 20.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 15 1 20.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 15 -11 20.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 15 -5 20.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 5 -15 20.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] -1 -15 70.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 11 -15 20.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] -3 -15 70.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 9 -15 20.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 3 -15 60.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] 15 -15 20.0 (best c=0.125, g=0.0078125, rate=70.0)
[local] -5 -7 70.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] -5 -1 70.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] -5 -13 70.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] -5 1 70.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] -5 -11 70.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] -5 -5 70.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] -5 -15 70.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 5 3 20.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] -1 3 70.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 11 3 20.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] -3 3 70.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 9 3 20.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 3 3 60.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 15 3 20.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] -5 3 70.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 7 -7 10.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 7 -1 10.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 7 -13 10.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 7 1 10.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 7 -11 10.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 7 -5 10.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 7 -15 10.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 7 3 10.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 5 -9 20.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] -1 -9 70.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 11 -9 20.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] -3 -9 70.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 9 -9 20.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 3 -9 60.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 15 -9 20.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] -5 -9 70.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 7 -9 10.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 1 -7 60.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 1 -1 60.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 1 -13 60.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 1 1 60.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 1 -11 60.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 1 -5 60.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 1 -15 60.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 1 3 60.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 1 -9 60.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 5 -3 20.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] -1 -3 70.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 11 -3 20.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] -3 -3 70.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 9 -3 20.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 3 -3 60.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 15 -3 20.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] -5 -3 70.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 7 -3 10.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 1 -3 60.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 13 -7 20.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 13 -1 20.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 13 -13 20.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 13 1 20.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 13 -11 20.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 13 -5 20.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 13 -15 20.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 13 3 20.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 13 -9 20.0 (best c=0.03125, g=0.0078125, rate=70.0)
[local] 13 -3 20.0 (best c=0.03125, g=0.0078125, rate=70.0)
0.03125 0.0078125 70.0
iter  1 act 2.432e-01 pre 2.432e-01 delta 6.094e-01 f 4.875e+00 |g| 9.154e-01 CG   3
Accuracy = 81.8182% (18/22) (classification)
