[local] -1 -3 60.0 (best c=8.0, g=0.5, rate=80.0)
[local] 11 -3 80.0 (best c=8.0, g=0.5, rate=80.0)
[local] -3 -3 60.0 (best c=8.0, g=0.5, rate=80.0)
[local] 9 -3 80.0 (best c=8.0, g=0.5, rate=80.0)
[local] 3 -3 80.0 (best c=8.0, g=0.5, rate=80.0)
[local] 15 -3 80.0 (best c=8.0, g=0.5, rate=80.0)
[local] -5 -3 60.0 (best c=8.0, g=0.5, rate=80.0)
[local] 7 -3 80.0 (best c=8.0, g=0.5, rate=80.0)
[local] 1 -3 60.0 (best c=8.0, g=0.5, rate=80.0)
[local] 13 -7 80.0 (best c=8.0, g=0.5, rate=80.0)
[local] 13 -1 80.0 (best c=8.0, g=0.5, rate=80.0)
[local] 13 -13 80.0 (best c=8.0, g=0.5, rate=80.0)
[local] 13 1 60.0 (best c=8.0, g=0.5, rate=80.0)
[local] 13 -11 80.0 (best c=8.0, g=0.5, rate=80.0)
[local] 13 -5 80.0 (best c=8.0, g=0.5, rate=80.0)
[local] 13 -15 60.0 (best c=8.0, g=0.5, rate=80.0)
[local] 13 3 60.0 (best c=8.0, g=0.5, rate=80.0)
[local] 13 -9 80.0 (best c=8.0, g=0.5, rate=80.0)
[local] 13 -3 80.0 (best c=8.0, g=0.5, rate=80.0)
8.0 0.5 80.0
.*
optimization finished, #iter = 209
nu = 0.109746
obj = -52.677262, rho = 0.959877
nSV = 106, nBSV = 0
Total nSV = 106
Accuracy = 90.9091% (20/22) (classification)
